question,option_1,option_2,option_3,option_4,option_5,answer,wiki_text,page_id,page_title,stem_label
What is the purpose of the ZetaGrid project?,To explore the non-trivial roots of the Riemann zeta function,To develop distributed computing technology,To study the stability of hosting providers,To disprove the Riemann hypothesis,To verify the Riemann hypothesis,option_1,"ZetaGrid was at one time the largest distributed computing project, designed to explore the non-trivial roots of the Riemann zeta function, checking over one billion roots a day.
Roots of the zeta function are of particular interest in mathematics; a single root out of alignment would disprove the Riemann hypothesis, with far-reaching consequences for all of mathematics. As of June, 2023 no counterexample to the Riemann hypothesis has been found.
The project ended in November 2005 due to instability of the hosting provider. The first more than 1013 zeroes were checked. The project administrator stated that after the results were analyzed, they would be posted on the American Mathematical Society website. The official status remains unclear, however, as it was never published nor independently verified. This is likely because there was no evidence that each zero was actually computed, as there was no process implemented to check each one as it was calculated.

References
External links
Home page (Web archive).",2848762,ZetaGrid,M
What would be the consequence of finding a single root out of alignment?,It would prove the Riemann hypothesis,It would disprove the Riemann hypothesis,It would end the ZetaGrid project,It would lead to the development of distributed computing technology,It would have no impact on mathematics,option_2,"ZetaGrid was at one time the largest distributed computing project, designed to explore the non-trivial roots of the Riemann zeta function, checking over one billion roots a day.
Roots of the zeta function are of particular interest in mathematics; a single root out of alignment would disprove the Riemann hypothesis, with far-reaching consequences for all of mathematics. As of June, 2023 no counterexample to the Riemann hypothesis has been found.
The project ended in November 2005 due to instability of the hosting provider. The first more than 1013 zeroes were checked. The project administrator stated that after the results were analyzed, they would be posted on the American Mathematical Society website. The official status remains unclear, however, as it was never published nor independently verified. This is likely because there was no evidence that each zero was actually computed, as there was no process implemented to check each one as it was calculated.

References
External links
Home page (Web archive).",2848762,ZetaGrid,M
Why did the ZetaGrid project end in 2005?,Due to the completion of checking over one billion roots,Due to instability of the hosting provider,Due to the discovery of a counterexample to the Riemann hypothesis,Due to lack of interest from mathematicians,Due to budget constraints,option_2,"ZetaGrid was at one time the largest distributed computing project, designed to explore the non-trivial roots of the Riemann zeta function, checking over one billion roots a day.
Roots of the zeta function are of particular interest in mathematics; a single root out of alignment would disprove the Riemann hypothesis, with far-reaching consequences for all of mathematics. As of June, 2023 no counterexample to the Riemann hypothesis has been found.
The project ended in November 2005 due to instability of the hosting provider. The first more than 1013 zeroes were checked. The project administrator stated that after the results were analyzed, they would be posted on the American Mathematical Society website. The official status remains unclear, however, as it was never published nor independently verified. This is likely because there was no evidence that each zero was actually computed, as there was no process implemented to check each one as it was calculated.

References
External links
Home page (Web archive).",2848762,ZetaGrid,M
How many zeroes were checked in the ZetaGrid project?,More than 1010,More than 1011,More than 1012,More than 1013,More than 1014,option_4,"ZetaGrid was at one time the largest distributed computing project, designed to explore the non-trivial roots of the Riemann zeta function, checking over one billion roots a day.
Roots of the zeta function are of particular interest in mathematics; a single root out of alignment would disprove the Riemann hypothesis, with far-reaching consequences for all of mathematics. As of June, 2023 no counterexample to the Riemann hypothesis has been found.
The project ended in November 2005 due to instability of the hosting provider. The first more than 1013 zeroes were checked. The project administrator stated that after the results were analyzed, they would be posted on the American Mathematical Society website. The official status remains unclear, however, as it was never published nor independently verified. This is likely because there was no evidence that each zero was actually computed, as there was no process implemented to check each one as it was calculated.

References
External links
Home page (Web archive).",2848762,ZetaGrid,M
Why were the results of the ZetaGrid project not published?,The results were lost due to a technical issue,The results were inconclusive,There was no evidence that each zero was actually computed,The project administrator decided not to publish them,The American Mathematical Society rejected the publication,option_3,"ZetaGrid was at one time the largest distributed computing project, designed to explore the non-trivial roots of the Riemann zeta function, checking over one billion roots a day.
Roots of the zeta function are of particular interest in mathematics; a single root out of alignment would disprove the Riemann hypothesis, with far-reaching consequences for all of mathematics. As of June, 2023 no counterexample to the Riemann hypothesis has been found.
The project ended in November 2005 due to instability of the hosting provider. The first more than 1013 zeroes were checked. The project administrator stated that after the results were analyzed, they would be posted on the American Mathematical Society website. The official status remains unclear, however, as it was never published nor independently verified. This is likely because there was no evidence that each zero was actually computed, as there was no process implemented to check each one as it was calculated.

References
External links
Home page (Web archive).",2848762,ZetaGrid,M
What is natural science?,A systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.,The study of nature and its phenomena based on empirical evidence.,A branch of science that focuses on academic disciplines.,An overview of academic fields and professions.,The study of physical and life sciences.,option_1,"The following outline is provided as an overview of and topical guide to natural science:
Natural science – a major branch of science that tries to explain, and predict, nature's phenomena based on empirical evidence. In natural science, hypothesis must be verified scientifically to be regarded as scientific theory.  Validity, accuracy, and social mechanisms ensuring quality control, such as peer review and repeatability of findings, are amongst the criteria and methods used for this purpose. Natural science can be broken into 2 main branches: life science, and physical science. Each of these branches, and all of their sub-branches, are referred to as natural sciences.

Overview
Natural science can be described as all of the following:

Branch of science – systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.
Major category of academic disciplines – an academic discipline is focused study in one academic field or profession. A discipline incorporates expertise, people, projects, communities, challenges, studies, inquiry, and research areas that are strongly associated with academic areas of study or areas of professional practice. For example, the branches of science are commonly referred to as the scientific disciplines.",33017018,Outline of natural science,S
What is a scientific theory?,A hypothesis that has been verified scientifically.,An explanation or prediction about nature's phenomena based on empirical evidence.,A branch of natural science that focuses on academic disciplines.,A systematic enterprise that builds and organizes knowledge.,A set of criteria and methods used for quality control in natural science.,option_2,"The following outline is provided as an overview of and topical guide to natural science:
Natural science – a major branch of science that tries to explain, and predict, nature's phenomena based on empirical evidence. In natural science, hypothesis must be verified scientifically to be regarded as scientific theory.  Validity, accuracy, and social mechanisms ensuring quality control, such as peer review and repeatability of findings, are amongst the criteria and methods used for this purpose. Natural science can be broken into 2 main branches: life science, and physical science. Each of these branches, and all of their sub-branches, are referred to as natural sciences.

Overview
Natural science can be described as all of the following:

Branch of science – systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.
Major category of academic disciplines – an academic discipline is focused study in one academic field or profession. A discipline incorporates expertise, people, projects, communities, challenges, studies, inquiry, and research areas that are strongly associated with academic areas of study or areas of professional practice. For example, the branches of science are commonly referred to as the scientific disciplines.",33017018,Outline of natural science,S
What are the criteria and methods used for quality control in natural science?,"Validity, accuracy, and social mechanisms.",Peer review and repeatability of findings.,Empirical evidence and scientific theories.,Systematic enterprise and academic disciplines.,Research areas and scientific explanations.,option_2,"The following outline is provided as an overview of and topical guide to natural science:
Natural science – a major branch of science that tries to explain, and predict, nature's phenomena based on empirical evidence. In natural science, hypothesis must be verified scientifically to be regarded as scientific theory.  Validity, accuracy, and social mechanisms ensuring quality control, such as peer review and repeatability of findings, are amongst the criteria and methods used for this purpose. Natural science can be broken into 2 main branches: life science, and physical science. Each of these branches, and all of their sub-branches, are referred to as natural sciences.

Overview
Natural science can be described as all of the following:

Branch of science – systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.
Major category of academic disciplines – an academic discipline is focused study in one academic field or profession. A discipline incorporates expertise, people, projects, communities, challenges, studies, inquiry, and research areas that are strongly associated with academic areas of study or areas of professional practice. For example, the branches of science are commonly referred to as the scientific disciplines.",33017018,Outline of natural science,S
How can natural science be broken down into branches?,By studying academic disciplines and professional practices.,By focusing on the study of nature and its phenomena.,By categorizing academic fields and professions.,By dividing it into life science and physical science.,By organizing knowledge and testable explanations.,option_4,"The following outline is provided as an overview of and topical guide to natural science:
Natural science – a major branch of science that tries to explain, and predict, nature's phenomena based on empirical evidence. In natural science, hypothesis must be verified scientifically to be regarded as scientific theory.  Validity, accuracy, and social mechanisms ensuring quality control, such as peer review and repeatability of findings, are amongst the criteria and methods used for this purpose. Natural science can be broken into 2 main branches: life science, and physical science. Each of these branches, and all of their sub-branches, are referred to as natural sciences.

Overview
Natural science can be described as all of the following:

Branch of science – systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.
Major category of academic disciplines – an academic discipline is focused study in one academic field or profession. A discipline incorporates expertise, people, projects, communities, challenges, studies, inquiry, and research areas that are strongly associated with academic areas of study or areas of professional practice. For example, the branches of science are commonly referred to as the scientific disciplines.",33017018,Outline of natural science,S
What are the sub-branches of natural science?,Academic disciplines and research areas.,"Expertise, projects, and communities.",Scientific theories and empirical evidence.,Life science and physical science.,Inquiries and challenges.,option_4,"The following outline is provided as an overview of and topical guide to natural science:
Natural science – a major branch of science that tries to explain, and predict, nature's phenomena based on empirical evidence. In natural science, hypothesis must be verified scientifically to be regarded as scientific theory.  Validity, accuracy, and social mechanisms ensuring quality control, such as peer review and repeatability of findings, are amongst the criteria and methods used for this purpose. Natural science can be broken into 2 main branches: life science, and physical science. Each of these branches, and all of their sub-branches, are referred to as natural sciences.

Overview
Natural science can be described as all of the following:

Branch of science – systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the universe.
Major category of academic disciplines – an academic discipline is focused study in one academic field or profession. A discipline incorporates expertise, people, projects, communities, challenges, studies, inquiry, and research areas that are strongly associated with academic areas of study or areas of professional practice. For example, the branches of science are commonly referred to as the scientific disciplines.",33017018,Outline of natural science,S
What is formal linguistics?,The branch of linguistics that studies the formal aspects of natural languages,The branch of linguistics that studies the history of language,The branch of linguistics that focuses on the social aspects of language,The branch of linguistics that studies the phonetics and phonology of language,The branch of linguistics that focuses on language acquisition,option_1,"Formal linguistics is the branch of linguistics which uses applied mathematical methods for the analysis of natural languages. Such methods include formal languages, formal grammars and first-order logical expressions. Formal linguistics also forms the basis of computational linguistics. Since the 1980s, the term is often used to refer to Chomskyan linguistics.

Approaches
Semiotic
Methods of formal linguistics were introduced by semioticians such as Charles Sanders Peirce and Louis Hjelmslev. Building on the work of David Hilbert and Rudolf Carnap, Hjelmslev proposed the use of formal grammars to analyse, generate and explain language in his 1943 book Prolegomena to a Theory of Language. In this view, language is regarded as arising from a mathematical relationship between meaning and form.
The formal description of language was further developed by linguists including J. R.",36056076,Formal linguistics,S
Which methods are used in formal linguistics?,Statistical analysis and machine learning,Applied mathematical methods and formal grammars,Ethnographic observation and fieldwork,Psycholinguistic experiments and cognitive modeling,Historical analysis and comparative linguistics,option_2,"Formal linguistics is the branch of linguistics which uses applied mathematical methods for the analysis of natural languages. Such methods include formal languages, formal grammars and first-order logical expressions. Formal linguistics also forms the basis of computational linguistics. Since the 1980s, the term is often used to refer to Chomskyan linguistics.

Approaches
Semiotic
Methods of formal linguistics were introduced by semioticians such as Charles Sanders Peirce and Louis Hjelmslev. Building on the work of David Hilbert and Rudolf Carnap, Hjelmslev proposed the use of formal grammars to analyse, generate and explain language in his 1943 book Prolegomena to a Theory of Language. In this view, language is regarded as arising from a mathematical relationship between meaning and form.
The formal description of language was further developed by linguists including J. R.",36056076,Formal linguistics,S
Who proposed the use of formal grammars in linguistics?,Charles Sanders Peirce,Louis Hjelmslev,David Hilbert,Rudolf Carnap,J. R. Firth,option_2,"Formal linguistics is the branch of linguistics which uses applied mathematical methods for the analysis of natural languages. Such methods include formal languages, formal grammars and first-order logical expressions. Formal linguistics also forms the basis of computational linguistics. Since the 1980s, the term is often used to refer to Chomskyan linguistics.

Approaches
Semiotic
Methods of formal linguistics were introduced by semioticians such as Charles Sanders Peirce and Louis Hjelmslev. Building on the work of David Hilbert and Rudolf Carnap, Hjelmslev proposed the use of formal grammars to analyse, generate and explain language in his 1943 book Prolegomena to a Theory of Language. In this view, language is regarded as arising from a mathematical relationship between meaning and form.
The formal description of language was further developed by linguists including J. R.",36056076,Formal linguistics,S
What is the relationship between meaning and form in language according to formal linguistics?,There is no relationship between meaning and form,Meaning and form are determined by cultural context,Meaning and form are determined by individual speakers,Meaning and form are determined by a mathematical relationship,Meaning and form are determined by historical evolution,option_4,"Formal linguistics is the branch of linguistics which uses applied mathematical methods for the analysis of natural languages. Such methods include formal languages, formal grammars and first-order logical expressions. Formal linguistics also forms the basis of computational linguistics. Since the 1980s, the term is often used to refer to Chomskyan linguistics.

Approaches
Semiotic
Methods of formal linguistics were introduced by semioticians such as Charles Sanders Peirce and Louis Hjelmslev. Building on the work of David Hilbert and Rudolf Carnap, Hjelmslev proposed the use of formal grammars to analyse, generate and explain language in his 1943 book Prolegomena to a Theory of Language. In this view, language is regarded as arising from a mathematical relationship between meaning and form.
The formal description of language was further developed by linguists including J. R.",36056076,Formal linguistics,S
"What is the current use of the term ""formal linguistics""?",Referring to the study of language acquisition,Referring to the study of the social aspects of language,Referring to the study of the phonetics and phonology of language,Referring to Chomskyan linguistics,Referring to the historical analysis of language,option_4,"Formal linguistics is the branch of linguistics which uses applied mathematical methods for the analysis of natural languages. Such methods include formal languages, formal grammars and first-order logical expressions. Formal linguistics also forms the basis of computational linguistics. Since the 1980s, the term is often used to refer to Chomskyan linguistics.

Approaches
Semiotic
Methods of formal linguistics were introduced by semioticians such as Charles Sanders Peirce and Louis Hjelmslev. Building on the work of David Hilbert and Rudolf Carnap, Hjelmslev proposed the use of formal grammars to analyse, generate and explain language in his 1943 book Prolegomena to a Theory of Language. In this view, language is regarded as arising from a mathematical relationship between meaning and form.
The formal description of language was further developed by linguists including J. R.",36056076,Formal linguistics,S
What is quantum engineering?,The development of technology that capitalizes on the laws of classical mechanics,The development of technology that capitalizes on the laws of quantum mechanics,The development of technology that capitalizes on the laws of Newtonian mechanics,The development of technology that capitalizes on the laws of electromagnetism,The development of technology that capitalizes on the laws of thermodynamics,option_2,"Quantum engineering is the development of technology that capitalizes on the laws of quantum mechanics. Quantum engineering uses quantum mechanics as a toolbox for the development of quantum technologies, such as quantum sensors or quantum computers.
There are many devices available which rely on quantum mechanical effects and have revolutionized society through medicine, optical communication, high-speed internet, and high-performance computing, just to mention a few examples. Nowadays, after the first quantum revolution that brought us lasers, MRI imagers and transistors, a second wave of quantum technologies is expected to impact society in a similar way. This second quantum revolution makes use of quantum coherence and capitalizes on the great progress achieved in the last century in understanding and controlling atomic-scale systems. It is expected to help solve many of today's global challenges and has triggered several initiatives and research programs all over the globe. Quantum mechanical effects are used as a resource in novel technologies with far-reaching applications, including quantum sensors and novel imaging techniques, secure communication (quantum internet) and quantum computing.

Education programs
Quantum engineering is evolving into its own engineering discipline. The quantum industry requires a quantum-literate workforce, a missing resource at the moment.",66600012,Quantum engineering,E
What are some examples of quantum technologies?,X-ray machines and microscopes,Televisions and radios,Refrigerators and dishwashers,Lasers and MRI imagers,Cars and airplanes,option_4,"Quantum engineering is the development of technology that capitalizes on the laws of quantum mechanics. Quantum engineering uses quantum mechanics as a toolbox for the development of quantum technologies, such as quantum sensors or quantum computers.
There are many devices available which rely on quantum mechanical effects and have revolutionized society through medicine, optical communication, high-speed internet, and high-performance computing, just to mention a few examples. Nowadays, after the first quantum revolution that brought us lasers, MRI imagers and transistors, a second wave of quantum technologies is expected to impact society in a similar way. This second quantum revolution makes use of quantum coherence and capitalizes on the great progress achieved in the last century in understanding and controlling atomic-scale systems. It is expected to help solve many of today's global challenges and has triggered several initiatives and research programs all over the globe. Quantum mechanical effects are used as a resource in novel technologies with far-reaching applications, including quantum sensors and novel imaging techniques, secure communication (quantum internet) and quantum computing.

Education programs
Quantum engineering is evolving into its own engineering discipline. The quantum industry requires a quantum-literate workforce, a missing resource at the moment.",66600012,Quantum engineering,E
What is the second quantum revolution?,The development of quantum technologies using classical mechanics,The development of quantum technologies using quantum coherence,The development of quantum technologies using Newtonian mechanics,The development of quantum technologies using electromagnetism,The development of quantum technologies using thermodynamics,option_2,"Quantum engineering is the development of technology that capitalizes on the laws of quantum mechanics. Quantum engineering uses quantum mechanics as a toolbox for the development of quantum technologies, such as quantum sensors or quantum computers.
There are many devices available which rely on quantum mechanical effects and have revolutionized society through medicine, optical communication, high-speed internet, and high-performance computing, just to mention a few examples. Nowadays, after the first quantum revolution that brought us lasers, MRI imagers and transistors, a second wave of quantum technologies is expected to impact society in a similar way. This second quantum revolution makes use of quantum coherence and capitalizes on the great progress achieved in the last century in understanding and controlling atomic-scale systems. It is expected to help solve many of today's global challenges and has triggered several initiatives and research programs all over the globe. Quantum mechanical effects are used as a resource in novel technologies with far-reaching applications, including quantum sensors and novel imaging techniques, secure communication (quantum internet) and quantum computing.

Education programs
Quantum engineering is evolving into its own engineering discipline. The quantum industry requires a quantum-literate workforce, a missing resource at the moment.",66600012,Quantum engineering,E
What are some applications of quantum mechanical effects?,Quantum sensors and novel imaging techniques,Cooking and cleaning,Farming and gardening,Writing and reading,Driving and traveling,option_1,"Quantum engineering is the development of technology that capitalizes on the laws of quantum mechanics. Quantum engineering uses quantum mechanics as a toolbox for the development of quantum technologies, such as quantum sensors or quantum computers.
There are many devices available which rely on quantum mechanical effects and have revolutionized society through medicine, optical communication, high-speed internet, and high-performance computing, just to mention a few examples. Nowadays, after the first quantum revolution that brought us lasers, MRI imagers and transistors, a second wave of quantum technologies is expected to impact society in a similar way. This second quantum revolution makes use of quantum coherence and capitalizes on the great progress achieved in the last century in understanding and controlling atomic-scale systems. It is expected to help solve many of today's global challenges and has triggered several initiatives and research programs all over the globe. Quantum mechanical effects are used as a resource in novel technologies with far-reaching applications, including quantum sensors and novel imaging techniques, secure communication (quantum internet) and quantum computing.

Education programs
Quantum engineering is evolving into its own engineering discipline. The quantum industry requires a quantum-literate workforce, a missing resource at the moment.",66600012,Quantum engineering,E
What is needed to support the quantum industry?,A quantum-literate workforce,A quantum-illiterate workforce,A quantum-resistant workforce,A quantum-conscious workforce,A quantum-resistant workforce,option_1,"Quantum engineering is the development of technology that capitalizes on the laws of quantum mechanics. Quantum engineering uses quantum mechanics as a toolbox for the development of quantum technologies, such as quantum sensors or quantum computers.
There are many devices available which rely on quantum mechanical effects and have revolutionized society through medicine, optical communication, high-speed internet, and high-performance computing, just to mention a few examples. Nowadays, after the first quantum revolution that brought us lasers, MRI imagers and transistors, a second wave of quantum technologies is expected to impact society in a similar way. This second quantum revolution makes use of quantum coherence and capitalizes on the great progress achieved in the last century in understanding and controlling atomic-scale systems. It is expected to help solve many of today's global challenges and has triggered several initiatives and research programs all over the globe. Quantum mechanical effects are used as a resource in novel technologies with far-reaching applications, including quantum sensors and novel imaging techniques, secure communication (quantum internet) and quantum computing.

Education programs
Quantum engineering is evolving into its own engineering discipline. The quantum industry requires a quantum-literate workforce, a missing resource at the moment.",66600012,Quantum engineering,E
"What is the main subject of ""A New Kind of Science""?",The study of cellular automata,The exploration of computational systems,The nature of computation and its implications,The study of simple abstract rules,The relevance of simple programs to other fields of science,option_5,"A New Kind of Science is a book by Stephen Wolfram, published by his company Wolfram Research under the imprint Wolfram Media in 2002. It contains an empirical and systematic study of computational systems such as cellular automata. Wolfram calls these systems simple programs and argues that the scientific philosophy and methods appropriate for the study of simple programs are relevant to other fields of science.

Contents
Computation and its implications
The thesis of A New Kind of Science (NKS) is twofold: that the nature of computation must be explored experimentally, and that the results of these experiments have great relevance to understanding the physical world.

Simple programs
The basic subject of Wolfram's ""new kind of science"" is the study of simple abstract rules—essentially, elementary computer programs. In almost any class of a computational system, one very quickly finds instances of great complexity among its simplest cases (after a time series of multiple iterative loops, applying the same simple set of rules on itself, similar to a self-reinforcing cycle using a set of rules). This seems to be true regardless of the components of the system and the details of its setup. Systems explored in the book include, amongst others, cellular automata in one, two, and three dimensions; mobile automata; Turing machines in 1 and 2 dimensions; several varieties of substitution and network systems; recursive functions; nested recursive functions; combinators; tag systems; register machines; reversal-addition. For a program to qualify as simple, there are several requirements:

Its operation can be completely explained by a simple graphical illustration.
It can be completely explained in a few sentences of human language.
It can be implemented in a computer language using just a few lines of code.
The number of its possible variations is small enough so that all of them can be computed.Generally, simple programs tend to have a very simple abstract framework.",93070,A New Kind of Science,M
"According to the book, what is the nature of computation?",It must be explored experimentally,It is irrelevant to understanding the physical world,It can be completely explained in a few sentences of human language,It is only relevant to the study of simple programs,It can be implemented in a computer language using just a few lines of code,option_1,"A New Kind of Science is a book by Stephen Wolfram, published by his company Wolfram Research under the imprint Wolfram Media in 2002. It contains an empirical and systematic study of computational systems such as cellular automata. Wolfram calls these systems simple programs and argues that the scientific philosophy and methods appropriate for the study of simple programs are relevant to other fields of science.

Contents
Computation and its implications
The thesis of A New Kind of Science (NKS) is twofold: that the nature of computation must be explored experimentally, and that the results of these experiments have great relevance to understanding the physical world.

Simple programs
The basic subject of Wolfram's ""new kind of science"" is the study of simple abstract rules—essentially, elementary computer programs. In almost any class of a computational system, one very quickly finds instances of great complexity among its simplest cases (after a time series of multiple iterative loops, applying the same simple set of rules on itself, similar to a self-reinforcing cycle using a set of rules). This seems to be true regardless of the components of the system and the details of its setup. Systems explored in the book include, amongst others, cellular automata in one, two, and three dimensions; mobile automata; Turing machines in 1 and 2 dimensions; several varieties of substitution and network systems; recursive functions; nested recursive functions; combinators; tag systems; register machines; reversal-addition. For a program to qualify as simple, there are several requirements:

Its operation can be completely explained by a simple graphical illustration.
It can be completely explained in a few sentences of human language.
It can be implemented in a computer language using just a few lines of code.
The number of its possible variations is small enough so that all of them can be computed.Generally, simple programs tend to have a very simple abstract framework.",93070,A New Kind of Science,M
What is required for a program to qualify as simple?,It can be completely explained by a simple graphical illustration,It can be completely explained in a few sentences of human language,Its operation is difficult to understand,It has a large number of possible variations,It is not applicable to computational systems,option_1,"A New Kind of Science is a book by Stephen Wolfram, published by his company Wolfram Research under the imprint Wolfram Media in 2002. It contains an empirical and systematic study of computational systems such as cellular automata. Wolfram calls these systems simple programs and argues that the scientific philosophy and methods appropriate for the study of simple programs are relevant to other fields of science.

Contents
Computation and its implications
The thesis of A New Kind of Science (NKS) is twofold: that the nature of computation must be explored experimentally, and that the results of these experiments have great relevance to understanding the physical world.

Simple programs
The basic subject of Wolfram's ""new kind of science"" is the study of simple abstract rules—essentially, elementary computer programs. In almost any class of a computational system, one very quickly finds instances of great complexity among its simplest cases (after a time series of multiple iterative loops, applying the same simple set of rules on itself, similar to a self-reinforcing cycle using a set of rules). This seems to be true regardless of the components of the system and the details of its setup. Systems explored in the book include, amongst others, cellular automata in one, two, and three dimensions; mobile automata; Turing machines in 1 and 2 dimensions; several varieties of substitution and network systems; recursive functions; nested recursive functions; combinators; tag systems; register machines; reversal-addition. For a program to qualify as simple, there are several requirements:

Its operation can be completely explained by a simple graphical illustration.
It can be completely explained in a few sentences of human language.
It can be implemented in a computer language using just a few lines of code.
The number of its possible variations is small enough so that all of them can be computed.Generally, simple programs tend to have a very simple abstract framework.",93070,A New Kind of Science,M
What are some of the systems explored in the book?,"Cellular automata in one, two, and three dimensions",Mobile automata,Turing machines in 1 and 2 dimensions,Several varieties of substitution and network systems,All of the above,option_5,"A New Kind of Science is a book by Stephen Wolfram, published by his company Wolfram Research under the imprint Wolfram Media in 2002. It contains an empirical and systematic study of computational systems such as cellular automata. Wolfram calls these systems simple programs and argues that the scientific philosophy and methods appropriate for the study of simple programs are relevant to other fields of science.

Contents
Computation and its implications
The thesis of A New Kind of Science (NKS) is twofold: that the nature of computation must be explored experimentally, and that the results of these experiments have great relevance to understanding the physical world.

Simple programs
The basic subject of Wolfram's ""new kind of science"" is the study of simple abstract rules—essentially, elementary computer programs. In almost any class of a computational system, one very quickly finds instances of great complexity among its simplest cases (after a time series of multiple iterative loops, applying the same simple set of rules on itself, similar to a self-reinforcing cycle using a set of rules). This seems to be true regardless of the components of the system and the details of its setup. Systems explored in the book include, amongst others, cellular automata in one, two, and three dimensions; mobile automata; Turing machines in 1 and 2 dimensions; several varieties of substitution and network systems; recursive functions; nested recursive functions; combinators; tag systems; register machines; reversal-addition. For a program to qualify as simple, there are several requirements:

Its operation can be completely explained by a simple graphical illustration.
It can be completely explained in a few sentences of human language.
It can be implemented in a computer language using just a few lines of code.
The number of its possible variations is small enough so that all of them can be computed.Generally, simple programs tend to have a very simple abstract framework.",93070,A New Kind of Science,M
What is the main argument of the book?,The scientific philosophy and methods applicable to the study of simple programs are relevant to other fields of science,Simple programs are not relevant to understanding the physical world,The study of simple abstract rules is unnecessary,Computational systems are too complex to study,The exploration of computational systems is irrelevant,option_1,"A New Kind of Science is a book by Stephen Wolfram, published by his company Wolfram Research under the imprint Wolfram Media in 2002. It contains an empirical and systematic study of computational systems such as cellular automata. Wolfram calls these systems simple programs and argues that the scientific philosophy and methods appropriate for the study of simple programs are relevant to other fields of science.

Contents
Computation and its implications
The thesis of A New Kind of Science (NKS) is twofold: that the nature of computation must be explored experimentally, and that the results of these experiments have great relevance to understanding the physical world.

Simple programs
The basic subject of Wolfram's ""new kind of science"" is the study of simple abstract rules—essentially, elementary computer programs. In almost any class of a computational system, one very quickly finds instances of great complexity among its simplest cases (after a time series of multiple iterative loops, applying the same simple set of rules on itself, similar to a self-reinforcing cycle using a set of rules). This seems to be true regardless of the components of the system and the details of its setup. Systems explored in the book include, amongst others, cellular automata in one, two, and three dimensions; mobile automata; Turing machines in 1 and 2 dimensions; several varieties of substitution and network systems; recursive functions; nested recursive functions; combinators; tag systems; register machines; reversal-addition. For a program to qualify as simple, there are several requirements:

Its operation can be completely explained by a simple graphical illustration.
It can be completely explained in a few sentences of human language.
It can be implemented in a computer language using just a few lines of code.
The number of its possible variations is small enough so that all of them can be computed.Generally, simple programs tend to have a very simple abstract framework.",93070,A New Kind of Science,M
What is microfadeometry?,A technique that measures color changes in objects of art using intense light spots,A technique that measures the chemical composition of dyes in cultural objects,A technique that tests and analyzes light damage on cultural objects,A technique that focuses light onto an object’s surface to obtain light-stability information,A technique that uses xenon arc lamps to collect reflected light,option_1,"Microfadeometry is a technique that uses tiny spots of intense light to probe and measure color changes in objects of art that are particularly sensitive to light exposure.
This process is completed using a recently designed instrument known as a microfading tester. The data from the test is represented by reflectance spectra.

History
Light-fastness testing dates back to as early as 1733. In the late 19th century with early art conservation studies, Russell and Abney published Action of Light on Watercolors in 1888 sparking a concern with light and the aging of cultural materials. Microfading, as a technique, was first identified in Paul Whitmore’s lab book entry on September 21, 1994. His work on the topic was later published in 1999.

Application
Before the creation of this technique, recording light-stability information directly from the objects was nearly impossible. Through the use of microfading technology, it is now possible to obtain both information about the chemical characterization of the dyes and the associated kinetics of color change.
Benchtop microfaders and microfading testers are used to test and analyze light damage on cultural objects and potential light damage to objects in museum collections.

Theory
Using a powerful xenon arc lamp, 1 lumen of light is focused through an optical fiber onto a 300–400 μm spot of the object’s surface. The reflected light is collected by a second fiber optic.",44219945,Microfadeometry,S
When was microfading first identified?,1733,1888,1994,1999,None of the above,option_3,"Microfadeometry is a technique that uses tiny spots of intense light to probe and measure color changes in objects of art that are particularly sensitive to light exposure.
This process is completed using a recently designed instrument known as a microfading tester. The data from the test is represented by reflectance spectra.

History
Light-fastness testing dates back to as early as 1733. In the late 19th century with early art conservation studies, Russell and Abney published Action of Light on Watercolors in 1888 sparking a concern with light and the aging of cultural materials. Microfading, as a technique, was first identified in Paul Whitmore’s lab book entry on September 21, 1994. His work on the topic was later published in 1999.

Application
Before the creation of this technique, recording light-stability information directly from the objects was nearly impossible. Through the use of microfading technology, it is now possible to obtain both information about the chemical characterization of the dyes and the associated kinetics of color change.
Benchtop microfaders and microfading testers are used to test and analyze light damage on cultural objects and potential light damage to objects in museum collections.

Theory
Using a powerful xenon arc lamp, 1 lumen of light is focused through an optical fiber onto a 300–400 μm spot of the object’s surface. The reflected light is collected by a second fiber optic.",44219945,Microfadeometry,S
